# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	31513
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=62 d=1.01193 t=30983
mo ban 	模板	c=295 d=3.77902 t=31493
mo ban shang 	模板上	c=1 d=1 t=14787
mo hu 	模糊	c=1 d=1 t=16668
mo ji 	墨跡	c=2 d=1.00844 t=2086
mo kuai 	模塊	c=3 d=1 t=28631
mo kuai hua 	模塊化	c=9 d=1.81088 t=29799
mo mo 	摸摸	c=15 d=1 t=28915
mo ni qi 	模擬器	c=2 d=1 t=30083
mo ren 	默認	c=14 d=1 t=29554
mo ren zhi 	默認值	c=2 d=1 t=25447
mo shi 	模式	c=5 d=1 t=28421
mo xing 	模型	c=5 d=1.00071 t=27987
mou ge 	某個	c=1 d=1 t=8724
mu 	木	c=1 d=1 t=1408
mu biao 	目標	c=23 d=2.60933 t=28011
mu lu 	目錄	c=5 d=1 t=26818
mu lu xia 	目錄下	c=1 d=1 t=22047
mu qian 	目前	c=18 d=1 t=26982
na 	哪	c=10 d=1.11041 t=29913
na 	拿	c=10 d=1.01317 t=25352
na 	那	c=55 d=1.01171 t=30989
na bei 	那杯	c=1 d=1 t=23985
na bian 	哪邊	c=2 d=1 t=29221
na bian 	那邊	c=20 d=1.37158 t=31306
na chu lai 	拿出來	c=1 d=1 t=18965
na ci 	那次	c=2 d=1 t=26699
na dan 	那單	c=1 d=1 t=14611
na dao 	拿到	c=8 d=1 t=28886
na dian 	那點	c=1 d=1 t=24101
na dian rou 	那點肉	c=1 d=1 t=1651
na dou 	那都	c=1 d=1 t=6406
na fan 	拿飯	c=1 d=1 t=100
na fan le ma 	那翻了嗎	c=1 d=1 t=99
na ge 	哪個	c=51 d=1.23228 t=31300
na ge 	那個	c=106 d=1.90766 t=30975
na ge bao 	那個包	c=1 d=1 t=17982
na ge ren 	那個人	c=2 d=1.00017 t=25576
na ge shi 	那個事	c=1 d=1 t=12041
na geng en 	那更恩	c=1 d=1 t=1123
na hai 	那還	c=1 d=1 t=4355
na hai hao 	那還好	c=1 d=1 t=19486
na hai shi 	那還是	c=1 d=1 t=25956
na hang 	那行	c=1 d=1 t=522
na hui er 	那會兒	c=9 d=1 t=25988
na ji ge 	哪幾個	c=1 d=1 t=27168
na ji ge 	那幾個	c=4 d=1 t=30098
na ji tian 	那幾天	c=1 d=1 t=27769
na jiu 	那就	c=10 d=1 t=28902
na jiu qu 	那就去	c=1 d=1 t=25021
na jiu shi 	那就是	c=6 d=1.00002 t=29111
na ke neng shi 	那可能是	c=1 d=1 t=483
na lai 	哪來	c=4 d=1 t=28794
na lai 	拿來	c=1 d=1 t=12109
na lai de 	哪來的	c=2 d=1 t=23240
na le 	哪了	c=1 d=1 t=25432
na le 	拿了	c=2 d=1.99501 t=7854
na li 	哪裏	c=1 d=1 t=26937
na li 	那裏	c=5 d=1.00248 t=29392
na lia 	那倆	c=1 d=1 t=18770
na liang 	那兩	c=0 d=0.1 t=24493
na liang ge 	那兩個	c=1 d=1 t=605
na liang nian 	那兩年	c=1 d=1 t=24494
na me 	那麼	c=2 d=0.1 t=29572
na me chang 	那麼長	c=1 d=1 t=3121
na me duo 	那麼多	c=2 d=1 t=12713
na me xie 	那麼寫	c=1 d=1 t=29573
na mei shi 	那沒事	c=1 d=1 t=17456
na men 	納悶	c=1 d=1 t=22170
na ni 	拿你	c=1 d=1 t=28155
na ni 	那你	c=1 d=1 t=28156
na qu 	哪去	c=0 d=0.1 t=744
na qu le 	哪去了	c=1 d=1 t=745
na ren 	拿人	c=0 d=0.1 t=5396
na ren jia 	拿人家	c=1 d=1 t=5397
na shi 	那是	c=2 d=1 t=14064
na shi hou 	那時候	c=1 d=1 t=30092
na shou 	拿手	c=1 d=1 t=21061
na shui 	那誰	c=1 d=1 t=2315
na tai 	哪臺	c=2 d=1 t=23453
na tian 	哪天	c=4 d=1.00147 t=12988
na tian 	那天	c=4 d=1.95814 t=25566
na wei sha 	那爲啥	c=1 d=1 t=22119
na wo 	那我	c=14 d=2.68523 t=19899
na wo jiu 	那我就	c=3 d=1 t=29481
na wo men 	那我們	c=2 d=1 t=28201
na wo o 	那我哦	c=1 d=1 t=14994
na xie 	哪些	c=17 d=2.56992 t=30926
na xie 	那些	c=4 d=1.00006 t=27591
na yang 	那樣	c=1 d=1 t=20031
na ye 	那也	c=1 d=1 t=24079
na ye xing 	那也行	c=1 d=1 t=15007
na yi 	那一	c=0 d=0.1 t=23331
na yi hang 	那一行	c=1 d=1 t=7384
na yi tuo 	那一坨	c=1 d=1 t=23332
na you 	哪有	c=2 d=1.00002 t=17384
na zhang 	那張	c=1 d=1 t=23336
na zhe ge 	拿這個	c=1 d=1 t=15310
na zhi neng 	那只能	c=1 d=1 t=14932
na zhong 	那種	c=10 d=1.3379 t=25904
nai fei 	奈飛	c=1 d=1 t=25617
nan bian 	南邊	c=1 d=1 t=24093
nan de 	男的	c=0 d=0.1 t=24768
nan de nv de 	男的女的	c=1 d=1 t=24769
nan fang 	南方	c=2 d=1 t=30382
nan guan 	南關	c=0 d=0.1 t=2092
nan guan ling 	南關嶺	c=2 d=1.94176 t=2105
nao dai teng 	腦袋疼	c=1 d=1 t=5396
nao gui 	鬧鬼	c=0 d=0.1 t=22216
nao gui le 	鬧鬼了	c=1 d=1 t=22217
nao zi 	腦子	c=1 d=1 t=8312
ne 	呢	c=37 d=1.00921 t=29992
nei 	內	c=3 d=1.45686 t=30081
nei bu 	內部	c=8 d=1.00002 t=29896
nei cun 	內存	c=2 d=1.95123 t=24537
nei meng 	內蒙	c=1 d=1 t=20396
nei qian 	內嵌	c=1 d=1 t=4822
nei rong 	內容	c=14 d=1 t=24347
nei wang 	內網	c=6 d=1 t=31298
nei xiang 	內向	c=1 d=1 t=3388
nei xin 	內心	c=2 d=1.00011 t=3343
nei zhi 	內置	c=1 d=1 t=25055
nen 	嫩	c=1 d=1 t=1713
neng 	能	c=85 d=1.0515 t=31322
neng a 	能啊	c=1 d=1 t=25529
neng bu neng 	能不能	c=28 d=1.04179 t=30856
neng chu 	能出	c=1 d=1 t=28953
neng da 	能打	c=1 d=0.109514 t=18137
neng da ma 	能打嗎	c=1 d=1 t=18138
neng da yin 	能打印	c=1 d=1 t=17600
neng dao 	能導	c=1 d=1 t=25207
neng de 	能的	c=1 d=1 t=22284
neng diao 	能調	c=1 d=1 t=12995
neng fa 	能發	c=1 d=1 t=1118
neng fou 	能否	c=3 d=1 t=14930
neng gou 	能夠	c=1 d=1 t=17734
neng he 	能和	c=1 d=1 t=18590
neng jia 	能加	c=3 d=1.00151 t=14665
neng kan dao 	能看到	c=2 d=1 t=18560
neng li 	能力	c=23 d=1.00001 t=30818
neng li mo xing 	能力模型	c=1 d=1 t=18881
neng mai zhao 	能買着	c=1 d=1 t=462
neng neng 	能能	c=1 d=1 t=29855
neng neng neng 	能能能	c=1 d=1 t=11182
neng pei 	能配	c=1 d=1 t=31504
neng qu 	能去	c=2 d=1.96079 t=28991
neng shan 	能刪	c=1 d=1 t=30925
neng shi ma 	能試嗎	c=1 d=1 t=23905
neng shuo 	能說	c=1 d=1 t=1100
neng xi 	能吸	c=1 d=1 t=29581
neng xie 	能寫	c=1 d=1 t=631
neng yong 	能用	c=7 d=1.69076 t=29575
neng yong de 	能用的	c=1 d=1 t=1913
neng yong ma 	能用嗎	c=1 d=1 t=27877
neng zhao 	能找	c=1 d=1 t=6564
neng zuo 	能做	c=1 d=1 t=28942
ni 	你	c=156 d=0.361549 t=31289
ni ba 	你把	c=1 d=1 t=18066
ni cai 	你猜	c=4 d=1 t=24768
ni de 	你的	c=18 d=1.00044 t=31231
ni dou 	你都	c=2 d=1.00323 t=26553
ni fa de 	你發的	c=1 d=1 t=19066
ni hao 	你好	c=9 d=1 t=28968
ni jiu xiang 	你就像	c=0 d=0.1 t=1143
ni jiu xiang wo zhe yang zuo 	你就像我這樣做	c=1 d=1 t=1144
ni kan 	你看	c=1 d=1 t=27665
ni lai 	你來	c=1 d=1 t=26708
ni lia 	你倆	c=2 d=1 t=28577
ni mai 	你買	c=0 d=0.1 t=13479
ni mai dao le 	你買到了	c=1 d=1 t=13480
ni mei tian 	你每天	c=1 d=1 t=6481
ni men 	你們	c=50 d=1.02097 t=31449
ni na 	你那	c=11 d=1 t=31473
ni na bian 	你那邊	c=1 d=1 t=18903
ni na de 	你那的	c=1 d=1 t=27659
ni na ge 	你那個	c=1 d=1 t=29064
ni na li 	你那裏	c=2 d=1 t=18035
ni neng 	你能	c=1 d=1 t=14520
ni qu 	你去	c=1 d=1 t=625
ni shi 	你是	c=1 d=1 t=19121
ni shi bu shi 	你是不是	c=3 d=1 t=17292
ni shi shi 	你試試	c=1 d=1 t=25756
ni shi yao 	你是要	c=1 d=1 t=16486
ni shi yi xia 	你試一下	c=1 d=1 t=19416
ni shuo 	你說	c=6 d=1 t=31226
ni shuo le suan 	你說了算	c=1 d=1 t=5947
ni xie de 	你寫的	c=1 d=1 t=6881
ni yao shi 	你要是	c=1 d=1 t=16332
ni zai 	你在	c=1 d=1 t=7831
ni zen me 	你怎麼	c=1 d=1 t=26413
ni zhe ge 	你這個	c=2 d=1 t=29112
ni zheng 	你正	c=1 d=1 t=6090
nian 	年	c=13 d=1 t=31165
nian du 	年度	c=1 d=1 t=18884
nian hou 	年後	c=2 d=1.00095 t=28459
nian qian 	年前	c=3 d=1.00003 t=29044
nian qing 	年輕	c=1 d=1 t=9169
nian tou 	年頭	c=1 d=1 t=4915
nian tou 	念頭	c=1 d=1 t=4914
nian xin 	年薪	c=1 d=1 t=26801
nian zhong jiang 	年終獎	c=2 d=1.00023 t=25394
niao 	尿	c=1 d=1 t=13691
nin 	您	c=3 d=1.21871 t=30321
ning jing zhi yuan 	寧靜致遠	c=1 d=1 t=13517
ning ju li 	凝聚力	c=1 d=1 t=18209
ning yuan 	寧願	c=1 d=1 t=4354
niu bi 	牛逼	c=12 d=1.00002 t=31083
niu bi a 	牛逼啊	c=4 d=1.05961 t=14500
niu rou 	牛肉	c=1 d=1 t=16856
nong 	弄	c=6 d=1 t=24937
nong bu mei 	弄不沒	c=1 d=1 t=23327
nong chu lai 	弄出來	c=3 d=1.00087 t=18068
nong chu lai le 	弄出來了	c=1 d=1 t=15835
nong dao 	弄到	c=2 d=1 t=21910
nong de 	弄得	c=2 d=1.98511 t=13147
nong dian 	弄點	c=1 d=1 t=25401
nong fu shan quan 	農夫山泉	c=4 d=3.56802 t=9280
nong ge 	弄個	c=3 d=1.00007 t=13649
nong guo 	弄過	c=1 d=1 t=3279
nong le 	弄了	c=4 d=1.74082 t=19601
nong li 	農曆	c=1 d=1 t=18451
nong qi lai 	弄起來	c=1 d=1 t=17061
nong sha 	弄啥	c=1 d=1 t=30664
nong wan le 	弄完了	c=1 d=1 t=3214
nong ye 	農業	c=1 d=1 t=8756
nong yi ge 	弄一個	c=1 d=1 t=15328
nuan qi 	暖氣	c=2 d=1 t=22794
nv de 	女的	c=0 d=0.1 t=24768
o 	哦	c=2 d=1 t=19485
ou er 	偶爾	c=1 d=1 t=21271
pa 	怕	c=2 d=1 t=24920
pa 	爬	c=2 d=1 t=24758
pa chong 	爬蟲	c=1 d=1 t=7636
pa xia 	趴下	c=1 d=1 t=1506
pai 	拍	c=1 d=0.1 t=17444
pai 	排	c=3 d=0.894534 t=30539
pai 	派	c=1 d=1 t=7857
pai cha 	排查	c=1 d=1 t=21461
pai cha yi xia 	排查一下	c=1 d=1 t=30540
pai dao 	排到	c=1 d=1 t=10095
pai de 	排的	c=1 d=1 t=18553
pai huang pian 	排黃片	c=1 d=1 t=4613
pai le ma 	排了嗎	c=2 d=1 t=17427
pai qi 	排期	c=6 d=1 t=27562
pai shang 	排上	c=1 d=1 t=17437
pai xian 	排線	c=3 d=2.96531 t=29993
pai xu 	排序	c=15 d=2.19077 t=30165
pai yi xia 	拍一下	c=4 d=1.0087 t=20348
pai yi xia 	排一下	c=1 d=1 t=9981
pai zhao 	拍照	c=2 d=1 t=14609
pai zi 	牌子	c=1 d=1 t=9361
pan duan 	判斷	c=6 d=1.00439 t=31429
pang bian 	旁邊	c=2 d=1.00001 t=18802
pang bian ma 	旁邊嗎	c=1 d=1 t=16359
pang ting 	旁聽	c=1 d=1 t=22458
pao 	泡	c=0 d=0.1 t=24076
pao 	跑	c=4 d=0.100002 t=20752
pao bu pao jiao 	泡不泡腳	c=1 d=1 t=24077
pao chu lai 	拋出來	c=2 d=1 t=27543
pao chu qu 	拋出去	c=1 d=1 t=4838
pao de 	跑得	c=1 d=1 t=27446
pao jiao 	泡腳	c=0 d=0.1 t=24076
pao le 	跑了	c=2 d=1 t=19225
pao lu 	跑路	c=1 d=1 t=14984
pao meng le 	跑猛了	c=1 d=1 t=13360
pao mian 	泡麪	c=1 d=1 t=5244
pao qi lai 	跑起來	c=4 d=1.96561 t=25145
pao tong 	跑通	c=3 d=0.115222 t=27416
pao tong le 	跑通了	c=2 d=1.07172 t=27944
pao yi xia 	跑一下	c=1 d=1 t=20753
pei 	配	c=20 d=1.09708 t=29231
pei 	陪	c=1 d=1 t=3094
pei chan jia 	配產假	c=2 d=1.98511 t=3091
pei de 	配的	c=11 d=1 t=31017
pei hao 	配好	c=2 d=1 t=23122
pei he 	配合	c=5 d=1 t=29653
pei le 	配了	c=3 d=2.01994 t=22017
pei le ge 	配了個	c=2 d=1.08208 t=22396
pei se 	配色	c=2 d=1 t=8505
pei song 	配送	c=5 d=1 t=31109
pei song dan 	配送單	c=2 d=1 t=30272
pei wo 	陪我	c=1 d=1 t=15414
pei xun 	培訓	c=4 d=1.34704 t=21630
pei yang 	培養	c=1 d=0.1 t=26906
pei yang pei yang 	培養培養	c=1 d=1 t=26907
pei yi xia 	配一下	c=4 d=1.57695 t=14390
pei zhi 	配置	c=123 d=3.69697 t=30572
pei zhi le 	配置了	c=2 d=1 t=22882
pei zhi xiang 	配置項	c=1 d=1 t=3622
pen 	噴	c=2 d=1.956 t=28671
pen le 	噴了	c=2 d=1.90937 t=28668
pen wan 	噴完	c=1 d=1 t=28702
peng 	捧	c=1 d=1 t=20217
peng 	碰	c=0 d=0.1 t=2691
peng yi xia 	碰一下	c=2 d=1 t=7430
peng you 	朋友	c=1 d=1 t=14215
pi fu 	皮膚	c=1 d=1 t=345
pi liang 	批量	c=14 d=1 t=29607
pi liang da 	批量打	c=1 d=1 t=6788
pi pei 	匹配	c=3 d=1 t=25900
pi pei biao 	匹配表	c=1 d=1 t=14839
pian 	偏	c=5 d=1.00004 t=28857
pian 	片	c=1 d=1 t=27630
pian cha 	偏差	c=3 d=1.74129 t=17847
pian yi 	便宜	c=5 d=0.1 t=29485
pian yi 	偏移	c=2 d=1 t=24293
pian yi le 	便宜了	c=1 d=1 t=29486
piao 	票	c=5 d=0.28329 t=29493
piao jia 	票價	c=1 d=1 t=29484
pin 	品	c=1 d=1 t=6092
pin 	拼	c=5 d=1 t=26425
pin jie 	拼接	c=3 d=1 t=16645
pin lei 	品類	c=3 d=2.73482 t=14901
pin pai 	品牌	c=1 d=0.100009 t=13641
pin pai bu 	品牌部	c=1 d=1 t=13642
pin shang 	拼上	c=1 d=1 t=16617
ping 	屏	c=1 d=0.123754 t=1515
ping bi 	屏蔽	c=4 d=3.6336 t=9108
ping fen 	評分	c=2 d=1.99005 t=11812
ping gu 	評估	c=19 d=1.99005 t=30783
ping guo 	蘋果	c=18 d=1.00263 t=18182
ping hua 	平滑	c=1 d=1 t=3839
ping ji 	平級	c=1 d=1 t=13826
ping jia 	評價	c=2 d=1 t=29535
ping lun 	評論	c=1 d=1 t=18868
ping pu 	平鋪	c=1 d=1 t=16606
ping shen 	評審	c=11 d=1.00153 t=27825
ping shen me 	憑什麼	c=3 d=1 t=30999
ping shen wan 	評審完	c=1 d=1 t=26922
ping shi 	平時	c=1 d=1 t=7558
ping tai 	平臺	c=14 d=1.07531 t=31188
po la 	潑辣	c=1 d=1 t=31061
po zai mei jie 	迫在眉睫	c=1 d=1 t=28278
pu bian 	普遍	c=1 d=1 t=16688
pu bu 	瀑布	c=1 d=1 t=27986
pu tong 	普通	c=2 d=0.1 t=29415
pu tong deng lu 	普通登錄	c=1 d=1 t=29416
qi 	器	c=2 d=1 t=28687
qi 	期	c=1 d=1 t=6774
qi 	氣	c=1 d=1 t=28643
qi 	琪	c=1 d=1 t=22930
qi 	齊	c=1 d=1 t=5428
qi che 	騎車	c=1 d=1 t=29873
qi ci 	其次	c=2 d=1 t=3921
qi dai 	期待	c=2 d=1 t=28906
qi dian 	七點	c=1 d=1 t=14489
qi dian ban 	七點半	c=2 d=1.00117 t=3651
qi dong 	啓動	c=6 d=1 t=22721
qi ge ming 	起個名	c=1 d=1 t=12032
qi guai 	奇怪	c=2 d=1.09209 t=20827
qi lai 	起來	c=3 d=1 t=27555
qi niu 	七牛	c=4 d=1.99005 t=31361
qi niu 	器牛	c=1 d=1 t=18085
qi niu yun 	七牛雲	c=1 d=1 t=1515
qi pa 	奇葩	c=1 d=1 t=31284
qi shi 	其實	c=9 d=1 t=26537
qi shi shi 	其實是	c=1 d=1 t=25993
qi si 	氣死	c=1 d=1 t=17805
qi si le 	氣死了	c=1 d=1 t=6656
qi ta 	其他	c=13 d=1 t=30534
qi ta duan 	其他端	c=1 d=1 t=21318
qi wang 	期望	c=8 d=1 t=31163
qi ye 	企業	c=3 d=1 t=14028
qi yi 	歧義	c=1 d=1 t=29154
qi yue 	契約	c=3 d=2.48887 t=27679
qi zao 	起早	c=1 d=1 t=12559
qi zhong 	其中	c=4 d=1 t=31112
qian 	前	c=7 d=1.06907 t=30621
qian 	千	c=1 d=0.833447 t=29770
qian 	欠	c=1 d=1 t=30725
qian 	遷	c=2 d=1.9802 t=11228
qian 	錢	c=5 d=1 t=28403
qian dao 	簽到	c=1 d=0.1 t=29971
qian dao 	遷到	c=3 d=1 t=17497
qian dao ma 	簽到碼	c=21 d=1.79086 t=30492
qian dao na 	遷到那	c=1 d=1 t=13588
qian dao shu 	簽到數	c=3 d=2.47068 t=30036
qian duan 	前端	c=95 d=1.08697 t=31434
qian hang fu za du 	千行複雜度	c=1 d=1 t=29771
qian hou 	前後	c=0 d=0.1 t=188
qian hou duan 	前後斷	c=1 d=1 t=189
qian le 	欠了	c=1 d=1 t=21888
qian li 	潛力	c=1 d=1 t=26903
qian liang tian 	前兩天	c=2 d=1.00005 t=5101
qian lie xian 	前列腺	c=1 d=1 t=10279
qian mian 	前面	c=7 d=1 t=24030
qian ming 	簽名	c=1 d=1 t=23331
qian ming wei 	錢明爲	c=2 d=1 t=11036
qian ming wei 	錢明衛	c=1 d=1 t=2024
qian shou 	簽收	c=2 d=1 t=5927
qian shou cha yi 	簽收差異	c=1 d=1 t=3590
qian ti 	前提	c=2 d=1 t=10413
qian tu 	前途	c=1 d=1 t=9151
qian wang 	前往	c=2 d=1 t=7746
qian yi 	遷移	c=24 d=1 t=30567
qian zhi 	前置	c=3 d=1.10487 t=28884
qian zhui 	前綴	c=1 d=1 t=9775
qiang 	強	c=3 d=1 t=29550
qiang 	搶	c=3 d=1.01641 t=30106
qiang bang ding 	強綁定	c=1 d=1 t=9688
qiang shou 	搶手	c=1 d=1 t=30458
qiang zhuan 	強轉	c=1 d=1 t=5171
qiao 	喬	c=1 d=1 t=20106
qiao ke li 	巧克力	c=2 d=1.99501 t=12679
qie 	切	c=3 d=1.88692 t=29105
qie dian 	切點	c=1 d=1 t=25403
qie huan 	切換	c=12 d=1.11466 t=29655
qie wan 	切晚	c=1 d=1 t=27415
qie zhi 	切紙	c=1 d=1 t=19331
qin qin 	親親	c=27 d=1 t=30994
qing 	慶	c=2 d=1.99501 t=25449
qing 	清	c=1 d=0.1 t=26793
qing 	請	c=7 d=0.200259 t=27384
qing 	輕	c=2 d=1 t=28897
qing ba 	請吧	c=1 d=1 t=22748
qing chu 	清楚	c=8 d=1.71534 t=31222
qing chu 	清除	c=3 d=1.39496 t=2570
qing chu le 	清楚了	c=0 d=0.1 t=2313
qing chu yi dian 	清楚一點	c=1 d=1 t=9192
qing diao 	清掉	c=1 d=1 t=17568
qing he 	清河	c=1 d=1 t=14934
qing huan cun 	清緩存	c=1 d=1 t=1591
qing jia 	請假	c=4 d=1.01116 t=28908
qing jian cha 	請檢查	c=1 d=1 t=6437
qing kuang 	情況	c=15 d=2.82746 t=30752
qing le 	清了	c=3 d=1.9806 t=9322
qing le 	請了	c=1 d=1 t=20207
qing li 	清理	c=6 d=1 t=27989
qing liang tian 	請兩天	c=1 d=1 t=22626
qing ling 	清零	c=2 d=1.36422 t=28002
qing qiu 	請求	c=9 d=1 t=24816
qing que ren 	請確認	c=1 d=1 t=24022
qing song 	輕鬆	c=1 d=1 t=10788
qing wen 	請問	c=2 d=1.92312 t=3497
qing xi 	清晰	c=4 d=1 t=6123
qing xi du 	清晰度	c=1 d=1 t=16734
qing xiang 	傾向	c=1 d=1 t=3883
qing yi qing 	清一清	c=1 d=1 t=26794
qing yi tian 	請一天	c=1 d=1 t=27385
qing yuan 	清源	c=1 d=1 t=19465
qiu 	求	c=0 d=0.1 t=2297
qiu wo 	求我	c=1 d=1 t=21109
qu 	區	c=2 d=1.1 t=27257
qu 	去	c=54 d=2.02273 t=29848
qu 	取	c=10 d=0.197283 t=21346
qu 	渠	c=1 d=1 t=11660
qu ba 	去吧	c=2 d=1.0007 t=27774
qu bie 	區別	c=8 d=1.07046 t=20427
qu chu lai 	取出來	c=1 d=1 t=6370
qu dai 	取代	c=1 d=1 t=2781
qu dao 	渠道	c=1 d=1 t=14221
qu diao 	去掉	c=15 d=1.01253 t=31398
qu dong 	驅動	c=5 d=1 t=28738
qu fen 	區分	c=6 d=1.00005 t=15526
qu guo 	去過	c=1 d=1 t=2131
qu jue yu 	取決於	c=1 d=1 t=4150
qu le 	去了	c=6 d=1.73345 t=28227
qu ma 	去嗎	c=1 d=1 t=26017
qu na 	去哪	c=1 d=1 t=13719
qu na bian 	去那邊	c=1 d=1 t=1442
qu ni na 	去你那	c=1 d=1 t=16978
qu pei zhi 	取配置	c=1 d=1 t=12176
qu xiao 	取消	c=4 d=1 t=24475
qu yu 	區域	c=1 d=1 t=25232
qu zhi 	取值	c=2 d=1.00494 t=27152
qu zuo 	去做	c=0 d=0.1 t=2132
qu zuo le 	去做了	c=1 d=1 t=2133
quan 	全	c=7 d=1 t=27464
quan 	券	c=2 d=1 t=29503
quan 	圈	c=1 d=1.07189 t=29772
quan bu 	全部	c=16 d=2.40896 t=30654
quan cheng 	全程	c=1 d=1 t=2858
quan fu za du 	圈複雜度	c=1 d=1 t=29707
quan guo 	全國	c=1 d=1 t=17241
quan huang 	拳皇	c=1 d=1 t=12536
quan ju 	全局	c=8 d=1.12431 t=25215
quan liang zhu shi 	全量主食	c=1 d=1 t=5802
quan mian 	全面	c=3 d=1 t=25343
quan ping 	全屏	c=1 d=1 t=6950
quan qiu 	全球	c=1 d=1 t=18899
quan shan le 	全刪了	c=1 d=1 t=5255
quan shi 	全是	c=2 d=1 t=20361
quan xian 	權限	c=15 d=1 t=31096
quan yuan 	全員	c=2 d=1.00167 t=27188
quan zhou 	泉州	c=1 d=1 t=24673
que 	卻	c=0 d=0.1 t=9431
que chao 	雀巢	c=1 d=1 t=13789
que dian 	缺點	c=1 d=1 t=7796
que ding 	確定	c=4 d=1.00844 t=25439
que ding le 	確定了	c=1 d=1 t=14912
que ren 	確認	c=40 d=1.00111 t=30580
que ren yi xia 	確認以下	c=1 d=1 t=11678
que shao 	缺少	c=2 d=1 t=30816
que shi 	確實	c=12 d=1.98511 t=29968
que shi 	缺失	c=1 d=1 t=18688
que shi chang 	卻市場	c=1 d=1 t=9432
que xian 	缺陷	c=1 d=1 t=30874
que yi bu ke 	缺一不可	c=1 d=1 t=1284
que zhen 	確診	c=1 d=1 t=4547
qun 	羣	c=6 d=2.04739 t=27626
qun li 	羣裏	c=5 d=1 t=29917
ran hou 	然後	c=65 d=1.06914 t=30773
rang 	讓	c=21 d=1.02989 t=29174
rang da jia 	讓大家	c=1 d=1 t=3772
rang ni 	讓你	c=1 d=1 t=814
rang qu ma 	讓去嗎	c=1 d=1 t=4445
rang ta 	讓他	c=4 d=1 t=28496
rang ta men 	讓他們	c=4 d=1.00314 t=28386
rang wo 	讓我	c=3 d=1 t=29281
rang zuo 	讓座	c=1 d=1 t=28476
re 	惹	c=1 d=1 t=22630
re 	熱	c=3 d=1 t=21675
re geng xin 	熱更新	c=1 d=1 t=1313
re hu 	熱乎	c=1 d=1 t=8427
re re 	熱熱	c=1 d=1 t=21283
re shui 	熱水	c=3 d=1 t=27475
ren 	人	c=28 d=1.00096 t=30862
ren 	仁	c=1 d=1 t=8228
ren 	認	c=0 d=0.1 t=11026
ren duo 	人多	c=1 d=0.1 t=26252
ren duo bu duo 	人多不多	c=2 d=1 t=13293
ren duo ma 	人多嗎	c=1 d=1 t=26253
ren gong 	人工	c=2 d=1.09512 t=11421
ren gong ka dian 	人工卡點	c=2 d=1 t=14281
ren he 	任何	c=5 d=2.48171 t=27596
ren jia 	人家	c=6 d=1 t=30122
ren jun 	人均	c=1 d=1 t=14101
ren ke 	認可	c=1 d=1 t=3297
ren ling 	認領	c=1 d=1 t=21644
ren ne 	人呢	c=1 d=1 t=17291
ren shi 	人事	c=1 d=1 t=14236
ren shi dao 	認識到	c=1 d=1 t=18753
ren shu 	人數	c=1 d=1 t=8452
ren wei 	認爲	c=1 d=1 t=27216
ren wu 	任務	c=60 d=4.5061 t=31461
ren wu li 	任務裏	c=1 d=1 t=28007
ren xiao 	人效	c=6 d=1.00009 t=30835
ren yi 	任意	c=2 d=1 t=10056
ren yuan 	人員	c=4 d=1 t=28615
ren zheng 	認證	c=2 d=1 t=16631
reng gei 	扔給	c=1 d=1 t=16657
reng jin 	扔進	c=0 d=0.1 t=24713
reng jin qu 	扔進去	c=1 d=1 t=24714
ri 	日	c=8 d=1.59984 t=25543
ri bao 	日報	c=1 d=1 t=26742
ri ben 	日本	c=3 d=1 t=31147
ri chang 	日常	c=1 d=1 t=2596
ri cheng 	日程	c=1 d=1 t=30847
ri li 	日曆	c=2 d=1 t=28940
ri pei dan 	日配單	c=1 d=1 t=10488
ri qi 	日期	c=5 d=1 t=20480
ri zhi 	日誌	c=30 d=1.13199 t=29933
rong duan 	熔斷	c=1 d=1 t=24837
rong yi 	容易	c=1 d=1 t=28344
rou 	肉	c=0 d=0.1 t=1650
ru 	入	c=2 d=1 t=29158
ru 	如	c=5 d=1.0035 t=25436
ru can 	入參	c=1 d=1 t=27376
ru can 	如慘	c=1 d=1 t=12049
ru guo 	如果	c=36 d=1.05497 t=31498
ru he 	如何	c=13 d=1.55666 t=30900
ru kou 	入口	c=4 d=1 t=30535
ru ku 	入庫	c=1 d=1 t=31463
ru xia 	如下	c=1 d=1 t=13385
ru zhi 	入職	c=1 d=1 t=26829
ruan jian 	軟件	c=3 d=1.00002 t=30837
ruan jin 	軟禁	c=1 d=1 t=28682
rui 	芮	c=2 d=1.97531 t=16795
ruo hua 	弱化	c=0 d=0.1 t=27672
ruo hua xiang mu 	弱化項目	c=1 d=1 t=27673
sai 	塞	c=1 d=1 t=12123
sai dao 	賽道	c=1 d=1 t=2489
san 	三	c=0 d=0.1 t=11095
san dian ban 	三點半	c=1 d=1 t=11096
san duan 	三端	c=2 d=1.98511 t=10397
san ge 	三個	c=7 d=1 t=28717
san ge hui 	三個會	c=1 d=1 t=4361
san nian 	三年	c=1 d=1 t=31177
san shi 	三是	c=0 d=0.1 t=19621
san shi li pu 	三是離譜	c=1 d=1 t=19622
san tian 	三天	c=1 d=1 t=5420
san tian liang tou 	三天兩頭	c=1 d=1 t=417
