# Rime user dictionary
#@/db_name	sougou
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6400
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=9 d=0.00278899 t=6400
na tai 	那台	c=3 d=3.2541e-11 t=6400
na tao 	那套	c=1 d=1.56182e-10 t=6400
na tian 	那天	c=1 d=9.42566e-11 t=6400
na wan yi 	那玩意	c=1 d=6.49382e-10 t=6400
na wo 	那我	c=2 d=4.24576e-10 t=6400
na xie 	哪些	c=1 d=0.000241172 t=6400
na yang 	那样	c=2 d=0.0497886 t=6400
na yi 	哪一	c=0 d=5.9349e-11 t=6400
na yi bu 	哪一步	c=1 d=5.96465e-10 t=6400
nan mian 	难免	c=1 d=0.0804596 t=6400
nao zi 	脑子	c=1 d=0.00139481 t=6400
ne 	呢	c=3 d=0.00256754 t=6400
nei 	内	c=1 d=0.0115047 t=6400
nei bu 	内部	c=1 d=5.48998e-05 t=6400
nei cun 	内存	c=8 d=0.0630983 t=6400
nei rong 	内容	c=9 d=0.0255366 t=6400
neng 	能	c=14 d=0.930778 t=6400
neng bu neng 	能不能	c=6 d=0.00791963 t=6400
neng bu neng bu yao 	能不能不要	c=1 d=2.66075e-13 t=6400
neng da 	能打	c=1 d=0.0702988 t=6400
neng fou 	能否	c=2 d=0.000195875 t=6400
neng jian biao 	能建表	c=1 d=3.2984e-11 t=6400
neng kan 	能看	c=1 d=1.6371e-05 t=6400
neng li 	能力	c=1 d=0.0199405 t=6400
neng neng neng 	能能能	c=1 d=0.000335463 t=6400
neng ting dong 	能听懂	c=0 d=2.42381e-05 t=6400
neng ting dong ma 	能听懂吗	c=1 d=0.000243596 t=6400
neng yong 	能用	c=3 d=1.08822e-07 t=6400
ni 	你	c=20 d=0.0186499 t=6400
ni ben di 	你本地	c=1 d=4.18297e-12 t=6400
ni de 	你的	c=2 d=0.882497 t=6400
ni hong bao 	你红包	c=1 d=0.000884932 t=6400
ni mei you 	你没有	c=1 d=0.718924 t=6400
ni men 	你们	c=9 d=1.52769e-05 t=6400
ni na 	你那	c=3 d=0.00737278 t=6400
ni na ge 	你那个	c=1 d=8.29947e-14 t=6400
ni shuo 	你说	c=2 d=0.00200629 t=6400
ni zi ji 	你自己	c=1 d=5.30116e-05 t=6400
nian 	年	c=2 d=0.604089 t=6400
niu 	牛	c=2 d=1.09566e-08 t=6400
niu bi 	牛比	c=1 d=7.88932e-06 t=6400
nong 	弄	c=2 d=0.000324583 t=6400
nong de 	弄的	c=2 d=1.5973e-12 t=6400
nong guo qu 	弄过去	c=1 d=2.05548e-06 t=6400
nong le 	弄了	c=1 d=2.05122e-11 t=6400
nuan he 	暖和	c=1 d=0.00280879 t=6400
o 	哦	c=2 d=0.0137738 t=6400
pa 	怕	c=1 d=0.17552 t=6400
pa bu shi 	怕不是	c=1 d=3.10525e-07 t=6400
pai 	排	c=4 d=6.81204e-09 t=6400
pai chu 	排除	c=1 d=3.03642e-08 t=6400
pai lie 	排列	c=3 d=4.27416e-12 t=6400
pai qi 	排期	c=1 d=7.39661e-12 t=6400
pai xu 	排序	c=8 d=6.22191e-09 t=6400
pai yi xia 	排一下	c=1 d=3.61898e-14 t=6400
pan 	盘	c=2 d=3.71149e-06 t=6400
pan duan 	判断	c=2 d=0.287537 t=6400
pao 	抛	c=2 d=3.14641e-10 t=6400
pao 	跑	c=4 d=0.0030749 t=6400
pao man le 	跑满了	c=1 d=4.3327e-14 t=6400
pao qi lai 	跑起来	c=1 d=0.000761668 t=6400
pao qi lai le 	跑起来了	c=1 d=0.000258659 t=6400
pei 	配	c=7 d=0.460722 t=6400
pei de 	配得	c=1 d=6.33133e-06 t=6400
pei ge 	配个	c=1 d=1.98033e-09 t=6400
pei he 	配合	c=2 d=0.916053 t=6400
pei le 	配了	c=1 d=6.16116e-09 t=6400
pei se 	配色	c=1 d=5.68941e-13 t=6400
pei song 	配送	c=3 d=0.0144076 t=6400
pei wan le 	配完了	c=1 d=2.60717e-09 t=6400
pei yi ge 	配一个	c=1 d=7.23142e-11 t=6400
pei zhi 	配置	c=11 d=0.0283358 t=6400
pi liang 	批量	c=5 d=2.93714e-08 t=6400
pi pei 	匹配	c=2 d=2.0579e-07 t=6400
pi yan 	屁眼	c=1 d=0.00177315 t=6400
pian 	片	c=1 d=6.56132e-14 t=6400
pian cha 	偏差	c=1 d=0.0239928 t=6400
pin 	拼	c=1 d=1.11166e-10 t=6400
pin ming 	品名	c=2 d=2.87016e-12 t=6400
pin yin 	拼音	c=1 d=7.81215e-08 t=6400
ping gu 	评估	c=1 d=5.00622e-08 t=6400
ping heng 	平衡	c=1 d=0.286505 t=6400
ping shen 	评审	c=1 d=7.33697e-05 t=6400
ping shen me 	凭什么	c=1 d=2.16683e-09 t=6400
ping tai 	平台	c=4 d=0.0448848 t=6400
pu tong 	普通	c=1 d=2.47362e-08 t=6400
qi 	期	c=1 d=2.35907e-09 t=6400
qi 	起	c=1 d=4.50876e-12 t=6400
qi bu lai 	起不来	c=1 d=1.9321e-13 t=6400
qi dai 	期待	c=1 d=0.0025415 t=6400
qi dong 	启动	c=2 d=8.66053e-09 t=6400
qi shi 	其实	c=5 d=0.0794977 t=6400
qi shi 	歧视	c=1 d=0.000277414 t=6400
qi ta 	其他	c=4 d=0.0352676 t=6400
qi tian 	七天	c=1 d=5.66007e-11 t=6400
qi wang 	期望	c=1 d=2.89581e-09 t=6400
qi wang 	棋王	c=1 d=2.88137e-09 t=6400
qi ye gou 	企业购	c=1 d=0.00127476 t=6400
qi yue 	契约	c=1 d=0.000485661 t=6400
qian 	前	c=2 d=6.82483e-07 t=6400
qian 	钱	c=2 d=0.00120654 t=6400
qian dao 	签到	c=1 d=0.00216573 t=6400
qian dao ma 	签到码	c=3 d=1.11911e-09 t=6400
qian duan 	前端	c=13 d=0.0190691 t=6400
qian hou 	前后	c=1 d=0.255381 t=6400
qian mian 	前面	c=2 d=0.00233098 t=6400
qian ming wei 	钱明卫	c=2 d=0.00559994 t=6400
qian tao 	嵌套	c=1 d=3.06059e-13 t=6400
qian yi 	迁移	c=2 d=0.0171645 t=6400
qian yi tian 	前一天	c=1 d=1.31765e-10 t=6400
qiang 	抢	c=1 d=0.000949097 t=6400
qin qin 	亲亲	c=2 d=0.163483 t=6400
qing 	清	c=4 d=4.85835e-05 t=6400
qing 	请	c=3 d=0.00261412 t=6400
qing chu 	清楚	c=1 d=4.82073e-05 t=6400
qing kong 	清空	c=1 d=7.8947e-14 t=6400
qing kuang 	情况	c=7 d=0.0259958 t=6400
qing le 	清了	c=1 d=2.3348e-05 t=6400
qing li 	清理	c=1 d=0.00360656 t=6400
qing qiu 	请求	c=4 d=1.52626e-12 t=6400
qing shu ru 	请输入	c=1 d=0.000432902 t=6400
qing xi 	清晰	c=2 d=0.0256881 t=6400
qing xi du 	清晰度	c=1 d=9.66592e-13 t=6400
qing yi xia 	清一下	c=3 d=1.4718e-13 t=6400
qiu he 	求和	c=1 d=2.42546e-12 t=6400
qu 	区	c=2 d=4.47842e-05 t=6400
qu 	去	c=7 d=0.0183184 t=6400
qu bie 	区别	c=2 d=0.000169951 t=6400
qu diao 	去掉	c=3 d=9.88166e-08 t=6400
qu dong 	驱动	c=1 d=5.49279e-11 t=6400
qu fan 	取反	c=1 d=3.02128e-08 t=6400
qu fen 	区分	c=1 d=1.84614e-07 t=6400
qu jian 	区间	c=1 d=0.00331267 t=6400
qu jue yu 	取决于	c=1 d=3.0585e-05 t=6400
qu xiao 	取消	c=3 d=0.012594 t=6400
qu zhi 	取值	c=1 d=2.69958e-07 t=6400
quan 	全	c=3 d=0.221672 t=6400
quan bu 	全部	c=4 d=3.06228e-09 t=6400
quan da xie 	全大写	c=1 d=4.54077e-07 t=6400
quan ju 	全局	c=2 d=0.000375655 t=6400
quan liu cheng 	全流程	c=1 d=0.0301974 t=6400
quan mian 	全棉	c=1 d=7.47094e-12 t=6400
quan mian 	全面	c=2 d=5.19713e-07 t=6400
quan xian 	权限	c=5 d=0.951188 t=6400
que ding 	确定	c=2 d=9.31606e-05 t=6400
que ren 	确认	c=5 d=0.000305909 t=6400
que ren yi xia 	确认一下	c=1 d=6.2726e-14 t=6400
que shi 	确实	c=1 d=0.900325 t=6400
qun li 	群里	c=1 d=0.000113353 t=6400
ran hou 	然后	c=17 d=0.669318 t=6400
rang 	让	c=6 d=0.00178013 t=6400
rang ta men 	让他们	c=2 d=0.0699482 t=6400
rang zai 	让再	c=1 d=2.82528e-13 t=6400
ren 	人	c=2 d=0.00489275 t=6400
ren qi le 	人齐了	c=1 d=1.11685e-06 t=6400
ren ren you ze 	人人有责	c=1 d=0.00179097 t=6400
ren shi 	认识	c=1 d=1.98512e-08 t=6400
ren wu 	任务	c=16 d=1.84633 t=6400
ren zhi 	认知	c=2 d=0.230444 t=6400
ri 	日	c=3 d=0.000666516 t=6400
ri chao 	日朝	c=1 d=0.128735 t=6400
ri mu biao 	日目标	c=1 d=0.0051953 t=6400
ri qi 	日期	c=3 d=0.00657585 t=6400
ri xia 	日下	c=1 d=0.000978001 t=6400
ri zhi 	日志	c=17 d=0.852069 t=6400
ri zhi 	日至	c=2 d=1.67911e-13 t=6400
rong yi 	容易	c=0 d=2.25565e-12 t=6400
ru 	如	c=1 d=4.85909e-10 t=6400
ru can 	入参	c=2 d=2.33053e-10 t=6400
ru can shi 	入参是	c=1 d=4.76368e-12 t=6400
ru guo 	如果	c=8 d=0.000141808 t=6400
ru guo shi 	如果是	c=1 d=1.33366e-05 t=6400
ru he 	如何	c=3 d=0.291154 t=6400
ru ku 	入库	c=6 d=1.5308e-09 t=6400
ru zhi 	入职	c=3 d=2.54515e-06 t=6400
ruan jian 	软件	c=1 d=3.7087e-08 t=6400
sai 	塞	c=3 d=0.00839608 t=6400
sai dao 	赛道	c=1 d=6.01109e-13 t=6400
san ge 	三哥	c=1 d=1.3138e-05 t=6400
san ge ren 	三个人	c=2 d=9.79496e-13 t=6400
san zhi 	三指	c=3 d=3.61944e-12 t=6400
san zhong 	三种	c=1 d=5.84555e-08 t=6400
sao zi 	嫂子	c=1 d=2.37129e-11 t=6400
sha 	啥	c=2 d=2.23244e-07 t=6400
sha de 	啥的	c=1 d=1.95657e-14 t=6400
sha le 	傻了	c=1 d=5.53555e-14 t=6400
sha shi 	啥事	c=1 d=7.95075e-09 t=6400
sha yi si 	啥意思	c=1 d=0.000561443 t=6400
shan 	善	c=1 d=0.00276698 t=6400
shan chu 	删除	c=1 d=5.84854e-14 t=6400
shan le ba 	删了吧	c=2 d=1.46303e-06 t=6400
shang 	上	c=19 d=0.00946682 t=6400
shang ci 	上次	c=4 d=6.94541e-05 t=6400
shang lai 	上来	c=1 d=2.70657e-08 t=6400
shang le 	上了	c=1 d=4.89525e-09 t=6400
shang na 	上哪	c=1 d=8.05007e-08 t=6400
shang pin 	商品	c=3 d=2.52307e-10 t=6400
shang qu 	上去	c=2 d=5.19681e-05 t=6400
shang qu 	上屈	c=1 d=7.67859e-11 t=6400
shang shi ji 	上世纪	c=1 d=0.000124028 t=6400
shang xian 	上线	c=2 d=1.36001e-10 t=6400
shang xian 	上限	c=1 d=2.75505e-11 t=6400
shang xian le 	上线了	c=1 d=8.35697e-07 t=6400
shang zuo 	上座	c=1 d=1.71718e-08 t=6400
shao deng 	稍等	c=3 d=2.52316e-06 t=6400
shao le 	少了	c=1 d=0.279431 t=6400
she ji 	设计	c=7 d=0.172343 t=6400
she ji dao 	涉及到	c=1 d=0.579842 t=6400
she ji qi 	设计器	c=2 d=7.56976e-11 t=6400
she xian 	设限	c=1 d=0.308819 t=6400
shen bi ma liang 	神笔马良	c=5 d=2.18587e-10 t=6400
shen jian 	身兼	c=0 d=2.37089e-10 t=6400
shen jian en 	身兼恩	c=1 d=2.38278e-09 t=6400
shen me 	什么	c=23 d=0.95006 t=6400
shen me shi hou 	什么时候	c=1 d=6.17922e-14 t=6400
shen me yang 	什么样	c=1 d=5.80138e-07 t=6400
shen qing 	申请	c=1 d=0.38868 t=6400
shen shang 	身上	c=1 d=1.62583e-12 t=6400
shen zhi 	伸直	c=1 d=4.56353e-07 t=6400
shen zhi 	甚至	c=1 d=4.60939e-07 t=6400
sheng chan 	生产	c=7 d=0.0596065 t=6400
sheng cheng 	生成	c=8 d=0.0115624 t=6400
sheng huo fei 	生活费	c=1 d=0.000925663 t=6400
sheng ji 	升级	c=4 d=0.00167859 t=6400
sheng ming 	声明	c=1 d=2.76745e-05 t=6400
sheng xian 	生鲜	c=2 d=1.20831e-12 t=6400
shi 	世	c=1 d=0.00096827 t=6400
shi 	事	c=2 d=0.0611176 t=6400
shi 	时	c=8 d=1.59262 t=6400
shi 	是	c=101 d=1.433 t=6400
shi an 	食安	c=2 d=4.79832e-09 t=6400
shi bai 	失败	c=1 d=0.000717312 t=6400
shi bai le 	失败了	c=4 d=4.52481e-13 t=6400
shi bu shi 	是不是	c=8 d=0.00184442 t=6400
shi chun yan 	石春艳	c=1 d=0.000155324 t=6400
shi fang 	释放	c=1 d=2.98299e-05 t=6400
shi fang le 	释放了	c=1 d=3.04325e-05 t=6400
shi fen 	十份	c=1 d=8.5907e-08 t=6400
shi fou 	是否	c=6 d=0.252065 t=6400
shi ge 	是个	c=2 d=0.343009 t=6400
shi guang 	师光	c=1 d=2.40133e-12 t=6400
shi hou 	时候	c=18 d=0.0126366 t=6400
shi hua 	实话	c=1 d=7.65616e-06 t=6400
shi jian 	实践	c=2 d=1.06527e-06 t=6400
shi jian 	时间	c=11 d=0.965605 t=6400
shi ke 	时刻	c=1 d=2.33036e-12 t=6400
shi li 	示例	c=1 d=2.57544e-12 t=6400
shi na 	是哪	c=1 d=2.76933e-13 t=6400
shi pin 	视频	c=1 d=2.22819e-14 t=6400
shi qing 	事情	c=3 d=0.186277 t=6400
shi sha 	是啥	c=4 d=0.00722853 t=6400
shi shen me 	是什么	c=1 d=2.43174e-13 t=6400
shi shi 	实施	c=1 d=0.516851 t=6400
shi shi 	试试	c=8 d=0.000331208 t=6400
shi shi shi 	是是是	c=1 d=0.00138093 t=6400
shi ti 	试题	c=1 d=3.69975e-09 t=6400
shi wan ge 	十万个	c=1 d=1.03418e-13 t=6400
shi xia 	试下	c=2 d=0.0620804 t=6400
shi xian 	实现	c=1 d=2.24325e-05 t=6400
shi xiao 	失效	c=1 d=1.42347e-07 t=6400
shi yi xia 	试一下	c=3 d=7.17901e-09 t=6400
shi yong 	使用	c=10 d=0.108765 t=6400
shi yong 	食用	c=1 d=0.67368 t=6400
shou ci 	受此	c=1 d=0.00121866 t=6400
shou huo 	收货	c=2 d=3.51321e-12 t=6400
shou ji 	手机	c=2 d=0.000728681 t=6400
shou ji 	收集	c=2 d=0.00020274 t=6400
shou ji 	首集	c=1 d=9.00631e-05 t=6400
shou ji hao 	手机号	c=1 d=5.0933e-05 t=6400
shou zi mu 	首字母	c=1 d=4.42865e-07 t=6400
shu 	数	c=3 d=2.43336e-05 t=6400
shu 	树	c=1 d=0.00683978 t=6400
shu 	蔬	c=0 d=5.9216e-14 t=6400
shu biao 	鼠标	c=1 d=1.37451e-07 t=6400
shu cai 	蔬菜	c=1 d=5.71793e-13 t=6400
shu dong po 	蔬东坡	c=1 d=5.95128e-13 t=6400
shu ju 	数据	c=27 d=0.900325 t=6400
shu ju ku 	数据库	c=4 d=4.95326e-08 t=6400
shu ju yuan 	数据源	c=3 d=1.86219e-08 t=6400
shu li 	梳理	c=2 d=0.00357382 t=6400
shu liang 	数量	c=6 d=0.00102706 t=6400
shu ru 	输入	c=3 d=0.00299767 t=6400
shu ru kuang 	输入框	c=1 d=0.00324708 t=6400
shu xu guan 	鼠须管	c=4 d=1.99501 t=6400
shu zhi 	述职	c=6 d=0.345044 t=6400
shu zu 	数组	c=2 d=0.215082 t=6400
shua xin 	刷新	c=1 d=7.05168e-09 t=6400
shuang 	双	c=1 d=1.73502e-12 t=6400
shuang lie 	双列	c=4 d=1.04368e-10 t=6400
shuang lie 	爽列	c=1 d=1.71776e-12 t=6400
shui 	谁	c=3 d=3.48321e-05 t=6400
shui pa shui 	谁怕谁	c=1 d=0.0026852 t=6400
shui ping 	水平	c=6 d=0.00538036 t=6400
shun xu 	顺序	c=5 d=0.985112 t=6400
shun zhe 	顺着	c=2 d=2.0814e-10 t=6400
shuo 	说	c=2 d=1.4974e-05 t=6400
shuo bu hao 	说不好	c=1 d=3.39769e-07 t=6400
shuo de hao 	说得好	c=1 d=3.3471e-07 t=6400
shuo guo 	说过	c=2 d=1.26538e-11 t=6400
shuo le 	说了	c=1 d=2.20527e-10 t=6400
si ji 	司机	c=1 d=0.00214418 t=6400
si kao 	思考	c=1 d=0.0162445 t=6400
si lu 	思路	c=1 d=0.0160829 t=6400
si lu 	死路	c=1 d=0.0160027 t=6400
si wang 	死亡	c=1 d=1.28823e-09 t=6400
song huo 	送货	c=2 d=3.71624e-12 t=6400
song huo liang 	送货量	c=1 d=1.47849e-12 t=6400
suan 	算	c=2 d=8.92879e-13 t=6400
suan bu zhun 	算不准	c=1 d=0.000308127 t=6400
suan cai 	酸菜	c=3 d=0.00586358 t=6400
suan zai 	算在	c=1 d=1.55752e-07 t=6400
suan zhang 	算账	c=1 d=1.72221e-13 t=6400
sui bian 	随便	c=1 d=1.23033e-09 t=6400
sui bian wan 	随便玩	c=1 d=5.35444e-05 t=6400
sui shi 	随时	c=2 d=2.89483e-05 t=6400
sun jie 	孙杰	c=1 d=1.79188e-09 t=6400
suo duan 	缩短	c=1 d=0.554327 t=6400
suo xiao 	缩小	c=1 d=0.00600598 t=6400
suo yi 	所以	c=13 d=0.0457013 t=6400
suo you 	所有	c=8 d=1.72872 t=6400
suo zai 	所在	c=1 d=3.07383e-05 t=6400
ta 	他	c=7 d=0.603856 t=6400
ta 	她	c=2 d=8.21277e-08 t=6400
ta de 	他的	c=2 d=0.0658774 t=6400
ta hai zai 	他还在	c=0 d=0.0323033 t=6400
ta hai zai jiang 	他还在讲	c=1 d=0.324652 t=6400
ta ma 	他妈	c=1 d=1.49309e-10 t=6400
ta ma de 	他妈的	c=2 d=0.295406 t=6400
ta men 	他们	c=10 d=0.0454642 t=6400
tai 	太	c=2 d=1.48899e-07 t=6400
tai bi 	台币	c=1 d=5.74561e-11 t=6400
tai bu 	太不	c=1 d=2.31196e-07 t=6400
tai cha 	太差	c=1 d=1.43455e-10 t=6400
tai chuang 	太闯	c=3 d=8.86464e-08 t=6400
tai duan le 	太短了	c=1 d=1.20154e-13 t=6400
tai duo le 	太多了	c=3 d=0.0802545 t=6400
tai zhong yao 	太重要	c=1 d=7.9084e-05 t=6400
tao bao 	淘宝	c=1 d=0.00202943 t=6400
tao lun 	讨论	c=1 d=6.03711e-05 t=6400
te yi 	特意	c=1 d=5.23753e-10 t=6400
teng xun 	腾讯	c=3 d=0.0317456 t=6400
teng xun yun 	腾讯云	c=2 d=7.56809e-09 t=6400
ti 	提	c=1 d=6.38171e-11 t=6400
ti 	题	c=1 d=5.67279e-08 t=6400
ti chu 	提出	c=1 d=9.30937e-12 t=6400
ti dai 	替代	c=2 d=0.000197843 t=6400
ti ge 	提个	c=1 d=0.0473589 t=6400
ti gei 	提给	c=1 d=6.94788e-11 t=6400
ti gong 	提供	c=2 d=0.0285051 t=6400
ti gong le 	提供了	c=1 d=0.0270518 t=6400
ti huan 	替换	c=1 d=0.000189713 t=6400
ti jian 	体检	c=1 d=0.00228818 t=6400
ti jiao 	提交	c=6 d=0.353455 t=6400
ti li huo 	体力活	c=1 d=8.39743e-05 t=6400
ti mu 	题目	c=2 d=1.75363e-07 t=6400
ti qian 	提前	c=2 d=0.0292 t=6400
ti sheng 	提升	c=9 d=0.924571 t=6400
ti shi 	提示	c=4 d=0.00235894 t=6400
ti xian 	体现	c=2 d=0.275622 t=6400
ti xian 	提现	c=1 d=0.00440507 t=6400
ti xu qiu 	提需求	c=1 d=0.0417941 t=6400
ti yan 	体验	c=1 d=0.0293049 t=6400
tian 	填	c=3 d=1.38842e-06 t=6400
tian 	天	c=2 d=2.06791e-06 t=6400
tian 	田	c=1 d=0.000480828 t=6400
tian jia 	添加	c=26 d=0.143291 t=6400
tian jin 	天津	c=2 d=2.94127e-08 t=6400
tian li jun 	田力军	c=1 d=0.000287295 t=6400
tian qi 	天气	c=1 d=2.1188e-10 t=6400
tiao 	调	c=2 d=4.56901e-10 t=6400
tiao 	跳	c=1 d=4.49711e-11 t=6400
tiao cao 	跳槽	c=1 d=3.08179e-06 t=6400
tiao guo 	跳过	c=2 d=1.34723e-08 t=6400
tiao jian 	条件	c=1 d=0.256661 t=6400
tiao shi 	调试	c=1 d=9.69094e-14 t=6400
tiao shu 	条数	c=1 d=7.41575e-13 t=6400
tiao xiao 	调小	c=1 d=2.04662e-14 t=6400
tiao zheng 	调整	c=2 d=0.254702 t=6400
tiao zhuan 	跳转	c=2 d=1.63785e-08 t=6400
ting 	听	c=2 d=0.013244 t=6400
ting 	挺	c=1 d=4.28959e-14 t=6400
ting hao 	挺好	c=1 d=0.00047843 t=6400
ting hao yong 	挺好用	c=1 d=6.94433e-05 t=6400
ting mei ting 	听没听	c=1 d=4.9804e-06 t=6400
ting qing chu 	听清楚	c=1 d=4.24691e-14 t=6400
ting yi xia 	听一下	c=1 d=3.6813e-09 t=6400
tong 	同	c=1 d=3.28932e-08 t=6400
tong 	通	c=2 d=0.00578523 t=6400
tong bu 	同步	c=1 d=3.93937e-12 t=6400
tong guo 	通过	c=8 d=0.389698 t=6400
tong yang 	同样	c=2 d=0.0230521 t=6400
tong yi 	同一	c=2 d=5.33322e-07 t=6400
tong yi 	统一	c=6 d=0.661796 t=6400
tong yi ge 	同一个	c=3 d=1.34036e-05 t=6400
tong yong 	通用	c=3 d=0.024169 t=6400
tong zhi 	通知	c=1 d=9.12503e-12 t=6400
tou da 	头大	c=1 d=2.62613e-06 t=6400
tou ming 	透明	c=1 d=5.77539e-13 t=6400
tou xian 	投线	c=1 d=3.76475e-08 t=6400
tu 	图	c=1 d=0.000367055 t=6400
tu pian 	图片	c=7 d=1.45539e-08 t=6400
tu ran 	突然	c=1 d=0.13068 t=6400
tuan dui 	团队	c=2 d=0.199554 t=6400
tuan gou jia 	团购价	c=3 d=0.00236968 t=6400
tui 	推	c=4 d=8.97836e-07 t=6400
tui guang 	推广	c=3 d=0.00366206 t=6400
tui liu 	推流	c=1 d=2.25059e-14 t=6400
tuo 	拖	c=1 d=6.28563e-09 t=6400
tuo feng 	驼峰	c=1 d=4.34096e-07 t=6400
tuo zhuai 	拖拽	c=1 d=1.21049e-12 t=6400
wa o 	哇哦	c=1 d=0.00256704 t=6400
wai bu 	外部	c=3 d=2.63503e-07 t=6400
wai chuan 	外传	c=1 d=3.14405e-06 t=6400
wai mian 	外面	c=1 d=0.000611253 t=6400
wai tao 	外套	c=2 d=0.00601215 t=6400
wai tao 	外逃	c=1 d=0.00290884 t=6400
wan 	万	c=1 d=5.71695e-11 t=6400
wan 	完	c=2 d=0.32372 t=6400
wan cheng 	完成	c=3 d=2.02584e-09 t=6400
wan dian 	晚点	c=1 d=1.05744e-10 t=6400
wan fa 	玩法	c=1 d=0.010889 t=6400
wan le 	完了	c=1 d=2.18333e-10 t=6400
wan mei 	完美	c=1 d=5.6328e-13 t=6400
wan quan 	完全	c=3 d=0.00019809 t=6400
wan quan shi 	完全是	c=1 d=0.366045 t=6400
wan shang 	晚上	c=2 d=0.00367266 t=6400
wan shi 	完事	c=4 d=7.99196e-09 t=6400
wan zheng 	完整	c=1 d=0.00425356 t=6400
wang 	往	c=1 d=1.32723e-07 t=6400
wang 	网	c=1 d=1.65468e-13 t=6400
wang duan 	网段	c=1 d=7.36097e-14 t=6400
wang fa 	忘发	c=1 d=4.06003e-14 t=6400
wang guan 	网关	c=4 d=3.27052e-11 t=6400
wang le 	忘了	c=1 d=1.4854e-08 t=6400
wang luo 	网络	c=1 d=5.59023e-12 t=6400
wang zhan 	网站	c=1 d=0.000468957 t=6400
wei 	为	c=3 d=0.425287 t=6400
wei 	位	c=5 d=0.0011076 t=6400
wei 	威	c=1 d=0.000365224 t=6400
wei 	未	c=2 d=3.96201e-10 t=6400
wei hu 	维护	c=2 d=0.00341356 t=6400
wei hu le 	维护了	c=1 d=4.84819e-13 t=6400
wei kong 	为空	c=1 d=2.89532e-07 t=6400
wei lai 	未来	c=1 d=5.74365e-07 t=6400
wei le 	为了	c=3 d=1.57839e-06 t=6400
wei sha 	为啥	c=3 d=0.00261418 t=6400
wei shen me 	为什么	c=1 d=6.14735e-12 t=6400
wei xin 	微信	c=2 d=7.90072e-13 t=6400
wei yi 	卫衣	c=1 d=0.00311976 t=6400
wen 	问	c=0 d=4.10935e-10 t=6400
wen dang 	文档	c=7 d=1.46658 t=6400
wen ding xing 	稳定性	c=2 d=0.416862 t=6400
wen jian 	文件	c=7 d=0.000197539 t=6400
wen jian jia 	文件夹	c=1 d=0.000584356 t=6400
wen juan 	问卷	c=1 d=8.06953e-07 t=6400
wen ta 	问他	c=1 d=0.00161245 t=6400
wen ti 	问题	c=37 d=1.1563 t=6400
wen wen 	问问	c=3 d=2.08578e-07 t=6400
wen xia 	问下	c=1 d=6.24132e-14 t=6400
wen xie wei 	问谢伟	c=1 d=4.12995e-09 t=6400
wen yi xia 	问一下	c=1 d=6.22414e-11 t=6400
wen zhang 	文章	c=1 d=3.28027e-05 t=6400
wo 	我	c=119 d=1.38167 t=6400
wo ba 	我把	c=2 d=0.00568457 t=6400
wo cao 	卧槽	c=3 d=0.0320858 t=6400
wo de 	我的	c=5 d=0.00530475 t=6400
wo gang 	我刚	c=1 d=9.54503e-12 t=6400
wo jiu 	我就	c=1 d=9.7362e-10 t=6400
wo kan 	我看	c=1 d=4.21338e-09 t=6400
wo mai le 	我买了	c=2 d=0.00071602 t=6400
wo men 	我们	c=17 d=0.0108073 t=6400
wo na hui er 	我那会儿	c=1 d=0.000183188 t=6400
wo qu 	我去	c=1 d=1.5154e-08 t=6400
wo shi 	我是	c=1 d=0.00304273 t=6400
wo si 	我司	c=1 d=3.05113e-06 t=6400
wo xian 	我先	c=1 d=5.38494e-13 t=6400
wo xiang chi 	我想吃	c=1 d=0.00204983 t=6400
wo xiang xiang 	我想想	c=1 d=1.06495e-05 t=6400
wo yao 	我要	c=1 d=7.43368e-12 t=6400
wo ye shi 	我也是	c=1 d=0.729789 t=6400
wo you ge 	我有个	c=1 d=0.000564257 t=6400
wo zai 	我在	c=1 d=4.14924e-05 t=6400
wo zhao 	我找	c=4 d=7.474e-07 t=6400
wo zhi dao 	我知道	c=2 d=5.48856e-12 t=6400
wo zhi qian 	我之前	c=1 d=0.000265207 t=6400
wo zhuan 	我转	c=1 d=0.00790705 t=6400
wu da 	五大	c=0 d=2.08116e-06 t=6400
wu da qu 	五大区	c=2 d=4.55839e-05 t=6400
wu fa 	无法	c=1 d=8.61294e-09 t=6400
wu jia meng 	吴佳梦	c=1 d=0.527292 t=6400
wu ke lan 	乌克兰	c=3 d=1.02653e-08 t=6400
wu liu 	物流	c=4 d=0.396682 t=6400
wu xi 	吴熙	c=2 d=1.70603e-09 t=6400
wu xiao 	无效	c=1 d=1.22878e-12 t=6400
xi tong 	系统	c=7 d=0.0029697 t=6400
xi wang 	希望	c=2 d=0.0118616 t=6400
xi xi 	嘻嘻	c=1 d=0.00257991 t=6400
xi zao 	洗澡	c=1 d=0.00169512 t=6400
xia 	下	c=3 d=0.00374683 t=6400
xia ban 	下班	c=1 d=0.149569 t=6400
xia ban le 	下班了	c=1 d=1.2625e-07 t=6400
xia ci 	下次	c=2 d=8.33491e-14 t=6400
xia dan 	下单	c=1 d=0.000531398 t=6400
xia fa 	下发	c=1 d=1.07342e-10 t=6400
